sep=,
Steam Sales data for Sauropod Studio: 2016-12-22 - 2017-01-21

Date,Product(ID#),Product Name,Type,Game,Platform,Country Code,Country,Region,Gross Units Sold,Chargeback/Returns,Net Units Sold,Base Price,Sale Price,Currency,Gross Steam Sales (USD),Chargeback/Returns (USD),VAT/Tax (USD),Net Steam Sales (USD),Tag
2016-12-24,26276,Castle Story,Steam,Castle Story,Mac,BR,Brazil,Latin America,1,0,1,36.99,31.44,BRL,9.6475,0.0000,0.0000,9.6475,
2016-12-24,26276,Castle Story,Retail,Castle Story,Mac,DE,Germany,Western Europe,1,0,1,0.00,0.00,USD,0.0000,0.0000,0.0000,0.0000,Kickstarter
2016-12-24,26276,Castle Story,Steam,Castle Story,Mac,GB,United Kingdom,Western Europe,1,0,1,14.99,12.74,GBP,15.7100,0.0000,-2.6142,13.0958,
2016-12-24,26276,Castle Story,Steam,Castle Story,Mac,US,United States,North America,2,0,2,19.99,16.99,USD,33.9800,0.0000,0.0000,33.9800,
2016-12-24,26276,Castle Story,Steam,Castle Story,Linux,MT,Malta,Western Europe,1,0,1,19.99,16.99,EUR,17.8900,0.0000,-2.7272,15.1628,
2016-12-24,26276,Castle Story,Steam,Castle Story,Linux,US,United States,North America,1,0,1,19.99,16.99,USD,16.9900,0.0000,0.0000,16.9900,
2016-12-25,26276,Castle Story,Steam,Castle Story,Windows,AU,Australia,Oceania,2,0,2,19.99,16.99,USD,33.9800,0.0000,0.0000,33.9800,
2016-12-25,26276,Castle Story,Steam,Castle Story,Windows,BR,Brazil,Latin America,11,1,10,36.99,31.44,BRL,106.2397,9.6500,0.0000,96.5897,
2016-12-25,26276,Castle Story,Retail,Castle Story,Windows,CA,Canada,North America,1,0,1,0.00,0.00,USD,0.0000,0.0000,0.0000,0.0000,Kickstarter
2016-12-25,26276,Castle Story,Steam,Castle Story,Windows,CA,Canada,North America,16,1,15,21.99,18.69,CAD,221.3784,13.8200,0.0000,207.5584,
2016-12-25,26276,Castle Story,Steam,Castle Story,Windows,CN,China,Asia,1,0,1,68.00,57.00,CNY,8.2184,0.0000,0.0000,8.2184,
